iter	Passed	Remaining
0	143	143280
1	144	72241
2	145	48502
3	147	36615
4	147	29428
5	148	24658
6	150	21279
7	150	18695
8	151	16676
9	152	15069
10	153	13765
11	153	12669
12	154	11744
13	155	10948
14	156	10258
15	157	9672
16	158	9142
17	159	8681
18	160	8273
19	161	7907
20	162	7574
21	163	7262
22	164	6977
23	165	6719
24	166	6475
25	166	6250
26	167	6040
27	168	5852
28	169	5675
29	170	5501
30	170	5339
31	171	5189
32	172	5054
33	173	4923
34	174	4800
35	175	4690
36	176	4586
37	177	4484
38	178	4388
39	178	4294
40	179	4203
41	180	4119
42	181	4036
43	182	3960
44	183	3883
45	183	3809
46	184	3739
47	185	3674
48	185	3609
49	186	3547
50	187	3489
51	188	3434
52	189	3383
53	190	3332
54	191	3285
55	192	3239
56	193	3193
57	193	3150
58	194	3104
59	195	3063
60	196	3021
61	197	2981
62	197	2943
63	198	2905
64	199	2870
65	200	2834
66	201	2801
67	202	2770
68	202	2737
69	203	2706
70	204	2679
71	205	2652
72	206	2627
73	207	2599
74	208	2571
75	209	2544
76	210	2519
77	211	2495
78	211	2470
79	212	2446
80	213	2422
81	214	2398
82	214	2372
83	215	2352
84	216	2332
85	217	2313
86	218	2292
87	219	2273
88	220	2255
89	221	2238
90	222	2220
91	223	2202
92	224	2184
93	224	2167
94	225	2150
95	226	2132
96	227	2115
97	228	2098
98	228	2081
99	229	2065
100	230	2050
101	231	2036
102	232	2020
103	232	2005
104	233	1991
105	234	1977
106	235	1966
107	236	1955
108	237	1943
109	238	1930
110	239	1917
111	240	1904
112	241	1892
113	241	1879
114	242	1867
115	243	1855
116	244	1842
117	244	1830
118	245	1819
119	246	1808
120	247	1798
121	248	1786
122	249	1775
123	250	1767
124	251	1758
125	252	1751
126	253	1740
127	254	1731
128	254	1721
129	255	1711
130	256	1701
131	257	1692
132	258	1683
133	259	1674
134	260	1666
135	261	1658
136	261	1649
137	262	1641
138	263	1632
139	264	1624
140	265	1618
141	266	1609
142	267	1602
143	268	1595
144	269	1587
145	270	1579
146	270	1572
147	271	1564
148	272	1556
149	273	1548
150	274	1542
151	275	1536
152	276	1528
153	277	1522
154	277	1515
155	278	1508
156	279	1501
157	280	1496
158	281	1490
159	282	1485
160	283	1476
161	284	1470
162	285	1463
163	285	1457
164	286	1450
165	287	1445
166	288	1438
167	289	1432
168	290	1426
169	291	1420
170	291	1415
171	292	1408
172	293	1403
173	294	1397
174	295	1394
175	297	1390
176	298	1385
177	299	1381
178	300	1377
179	301	1374
180	302	1369
181	303	1364
182	304	1359
183	305	1353
184	306	1348
185	306	1343
186	307	1338
187	308	1333
188	309	1329
189	311	1326
190	312	1324
191	313	1320
192	314	1315
193	315	1311
194	316	1306
195	317	1302
196	318	1297
197	319	1292
198	320	1288
199	321	1284
200	321	1279
201	322	1274
202	323	1270
203	324	1266
204	325	1263
205	326	1259
206	328	1256
207	328	1252
208	329	1248
209	330	1244
210	331	1240
211	332	1237
212	334	1234
213	335	1231
214	336	1228
215	337	1225
216	338	1221
217	339	1218
218	341	1216
219	342	1213
220	343	1210
221	344	1206
222	345	1203
223	346	1199
224	347	1195
225	348	1192
226	348	1188
227	350	1185
228	351	1181
229	352	1178
230	352	1174
231	353	1171
232	354	1168
233	356	1165
234	357	1163
235	358	1160
236	359	1157
237	360	1153
238	361	1150
239	362	1146
240	363	1143
241	364	1140
242	365	1138
243	366	1134
244	367	1132
245	368	1129
246	369	1126
247	370	1124
248	372	1122
249	373	1120
250	374	1117
251	375	1115
252	376	1112
253	377	1109
254	378	1106
255	379	1103
256	380	1099
257	381	1096
258	382	1093
259	383	1090
260	384	1087
261	384	1084
262	386	1082
263	387	1080
264	388	1078
265	389	1075
266	390	1073
267	391	1070
268	392	1067
269	393	1064
270	394	1061
271	395	1058
272	396	1056
273	397	1053
274	398	1050
275	399	1048
276	401	1047
277	402	1044
278	403	1043
279	404	1040
280	405	1037
281	406	1034
282	407	1032
283	408	1029
284	409	1026
285	410	1024
286	411	1021
287	412	1019
288	413	1016
289	414	1014
290	415	1012
291	416	1010
292	417	1008
293	419	1006
294	420	1004
295	421	1002
296	422	999
297	423	997
298	424	995
299	425	993
300	426	990
301	427	988
302	428	985
303	429	983
304	430	981
305	432	979
306	433	978
307	434	975
308	435	973
309	436	971
310	437	968
311	438	966
312	439	963
313	440	961
314	441	959
315	442	957
316	443	954
317	444	952
318	445	950
319	447	949
320	448	948
321	449	946
322	450	944
323	451	942
324	452	940
325	453	938
326	455	937
327	456	935
328	458	934
329	459	932
330	460	930
331	461	928
332	462	927
333	464	925
334	465	923
335	466	921
336	467	919
337	468	917
338	469	915
339	470	913
340	471	911
341	472	909
342	473	907
343	474	905
344	476	904
345	477	903
346	479	901
347	480	899
348	481	897
349	482	895
350	483	893
351	484	891
352	485	889
353	486	888
354	487	886
355	488	884
356	489	882
357	491	881
358	492	880
359	494	878
360	495	876
361	496	875
362	497	873
363	498	871
364	499	869
365	500	867
366	501	865
367	502	863
368	503	861
369	504	859
370	506	858
371	508	857
372	509	856
373	510	855
374	512	853
375	513	852
376	514	851
377	516	849
378	517	848
379	518	846
380	519	844
381	520	842
382	522	841
383	524	842
384	526	841
385	528	840
386	529	838
387	530	836
388	531	835
389	532	833
390	534	832
391	536	831
392	538	831
393	539	829
394	541	828
395	542	827
396	543	826
397	545	824
398	546	823
399	547	821
400	549	821
401	551	821
402	555	823
403	557	822
404	559	821
405	560	820
406	561	818
407	563	817
408	564	816
409	566	815
410	569	815
411	570	814
412	572	813
413	573	811
414	574	810
415	576	809
416	577	808
417	579	806
418	581	806
419	583	805
420	585	805
421	587	804
422	589	803
423	590	802
424	592	801
425	593	799
426	594	798
427	596	797
428	597	795
429	599	794
430	601	793
431	602	792
432	603	790
433	605	789
434	606	788
435	608	786
436	609	785
437	611	784
438	612	783
439	614	781
440	615	779
441	616	778
442	617	776
443	619	775
444	620	774
445	621	772
446	623	771
447	624	769
448	626	769
449	628	768
450	630	767
451	632	766
452	633	765
453	635	763
454	636	762
455	638	761
456	639	759
457	640	758
458	642	757
459	644	756
460	645	755
461	646	753
462	648	751
463	649	750
464	651	749
465	652	747
466	653	746
467	655	745
468	656	743
469	658	742
470	659	740
471	661	739
472	662	738
473	663	736
474	665	735
475	666	733
476	667	731
477	668	730
478	669	728
479	671	727
480	672	726
481	674	724
482	675	722
483	676	721
484	678	720
485	679	718
486	680	716
487	681	715
488	682	713
489	684	712
490	685	710
491	686	709
492	688	707
493	689	706
494	691	705
495	692	703
496	693	701
497	694	700
498	696	698
499	697	697
500	698	695
501	699	693
502	700	692
503	702	691
504	703	689
505	704	688
506	705	686
507	707	684
508	708	683
509	709	681
510	710	680
511	712	678
512	713	677
513	715	676
514	716	675
515	718	673
516	720	672
517	721	671
518	723	670
519	724	668
520	725	667
521	727	665
522	728	664
523	729	662
524	731	661
525	733	660
526	734	659
527	736	658
528	737	656
529	738	655
530	739	653
531	741	651
532	742	650
533	743	648
534	744	647
535	746	645
536	747	644
537	748	643
538	749	641
539	751	639
540	752	638
541	753	636
542	754	635
543	756	633
544	757	632
545	758	630
546	759	629
547	760	627
548	762	626
549	764	625
550	765	623
551	766	622
552	767	620
553	769	619
554	770	617
555	771	615
556	772	614
557	773	612
558	774	611
559	776	609
560	777	608
561	779	607
562	780	605
563	781	604
564	782	602
565	784	601
566	785	599
567	786	598
568	787	596
569	788	594
570	789	593
571	791	591
572	792	590
573	794	589
574	795	587
575	796	586
576	797	584
577	798	583
578	800	581
579	801	580
580	802	578
581	803	577
582	804	575
583	805	574
584	807	572
585	808	571
586	809	569
587	810	568
588	811	566
589	812	564
590	814	563
591	815	561
592	816	560
593	817	559
594	819	557
595	820	556
596	822	554
597	823	553
598	824	552
599	826	550
600	827	549
601	828	547
602	829	546
603	831	544
604	832	543
605	833	541
606	834	540
607	835	538
608	837	537
609	838	536
610	839	534
611	841	533
612	842	531
613	843	530
614	844	528
615	845	527
616	846	525
617	848	524
618	849	522
619	850	521
620	851	519
621	852	518
622	854	517
623	856	515
624	857	514
625	858	513
626	860	511
627	862	510
628	863	509
629	864	507
630	865	506
631	866	504
632	868	503
633	870	502
634	871	501
635	873	499
636	874	498
637	875	496
638	876	495
639	878	493
640	879	492
641	880	491
642	882	489
643	883	488
644	885	487
645	886	485
646	888	484
647	889	483
648	890	481
649	892	480
650	894	479
651	895	478
652	897	476
653	900	476
654	901	475
655	903	473
656	904	472
657	906	471
658	907	469
659	909	468
660	911	467
661	913	466
662	915	465
663	916	464
664	918	462
665	919	461
666	921	459
667	922	458
668	923	456
669	924	455
670	926	454
671	928	453
672	930	451
673	931	450
674	933	449
675	934	447
676	935	446
677	937	445
678	938	443
679	940	442
680	941	441
681	943	439
682	945	438
683	946	437
684	948	436
685	949	434
686	951	433
687	953	432
688	954	430
689	956	429
690	957	428
691	959	427
692	960	425
693	962	424
694	964	423
695	966	421
696	967	420
697	969	419
698	970	417
699	972	416
700	974	415
701	976	414
702	979	413
703	980	412
704	982	410
705	983	409
706	985	408
707	987	407
708	990	406
709	991	405
710	993	403
711	994	402
712	996	400
713	997	399
714	998	398
715	1000	396
716	1001	395
717	1004	394
718	1005	393
719	1007	391
720	1008	390
721	1010	388
722	1011	387
723	1012	386
724	1014	384
725	1015	383
726	1017	381
727	1018	380
728	1020	379
729	1021	377
730	1022	376
731	1024	375
732	1025	373
733	1026	372
734	1027	370
735	1029	369
736	1030	367
737	1032	366
738	1033	365
739	1035	363
740	1037	362
741	1038	361
742	1039	359
743	1040	358
744	1042	356
745	1043	355
746	1044	353
747	1046	352
748	1048	351
749	1049	349
750	1051	348
751	1052	347
752	1053	345
753	1054	344
754	1055	342
755	1056	341
756	1057	339
757	1058	338
758	1060	336
759	1061	335
760	1063	333
761	1064	332
762	1065	331
763	1067	329
764	1068	328
765	1069	326
766	1070	325
767	1071	323
768	1072	322
769	1074	320
770	1075	319
771	1076	317
772	1078	316
773	1079	315
774	1081	313
775	1082	312
776	1083	311
777	1084	309
778	1085	308
779	1087	306
780	1088	305
781	1089	303
782	1090	302
783	1092	301
784	1094	299
785	1095	298
786	1097	296
787	1098	295
788	1099	294
789	1100	292
790	1101	291
791	1103	289
792	1104	288
793	1105	286
794	1107	285
795	1109	284
796	1111	283
797	1112	281
798	1113	280
799	1115	278
800	1116	277
801	1117	275
802	1118	274
803	1119	272
804	1120	271
805	1122	270
806	1123	268
807	1125	267
808	1126	265
809	1127	264
810	1128	263
811	1129	261
812	1130	260
813	1131	258
814	1132	257
815	1133	255
816	1134	254
817	1136	252
818	1137	251
819	1139	250
820	1140	248
821	1141	247
822	1142	245
823	1143	244
824	1144	242
825	1145	241
826	1146	239
827	1148	238
828	1149	237
829	1150	235
830	1151	234
831	1153	232
832	1154	231
833	1156	230
834	1157	228
835	1158	227
836	1159	225
837	1160	224
838	1161	222
839	1162	221
840	1163	220
841	1165	218
842	1166	217
843	1168	215
844	1169	214
845	1170	213
846	1172	211
847	1173	210
848	1174	208
849	1175	207
850	1176	205
851	1177	204
852	1178	203
853	1179	201
854	1180	200
855	1181	198
856	1183	197
857	1184	196
858	1186	194
859	1187	193
860	1188	191
861	1189	190
862	1190	189
863	1191	187
864	1192	186
865	1193	184
866	1194	183
867	1196	181
868	1198	180
869	1199	179
870	1200	177
871	1202	176
872	1203	175
873	1204	173
874	1205	172
875	1206	170
876	1207	169
877	1208	167
878	1209	166
879	1211	165
880	1212	163
881	1214	162
882	1216	161
883	1217	159
884	1218	158
885	1219	156
886	1220	155
887	1221	154
888	1222	152
889	1223	151
890	1224	149
891	1226	148
892	1227	147
893	1229	145
894	1230	144
895	1231	142
896	1232	141
897	1233	140
898	1235	138
899	1235	137
900	1236	135
901	1237	134
902	1239	133
903	1240	131
904	1241	130
905	1243	128
906	1244	127
907	1245	126
908	1246	124
909	1247	123
910	1249	122
911	1249	120
912	1251	119
913	1252	117
914	1253	116
915	1254	115
916	1254	113
