iter	Passed	Remaining
0	136	136856
1	137	68760
2	138	45999
3	138	34585
4	139	27814
5	140	23272
6	141	20036
7	142	17608
8	142	15705
9	143	14183
10	144	12975
11	145	11953
12	145	11072
13	146	10320
14	147	9678
15	148	9105
16	148	8596
17	149	8143
18	149	7733
19	150	7367
20	150	7031
21	151	6742
22	152	6468
23	152	6219
24	153	5982
25	154	5769
26	154	5573
27	155	5388
28	155	5222
29	156	5064
30	157	4915
31	157	4777
32	158	4645
33	159	4522
34	159	4403
35	160	4293
36	160	4187
37	161	4086
38	161	3990
39	162	3895
40	162	3808
41	163	3728
42	164	3649
43	164	3576
44	165	3503
45	165	3436
46	166	3372
47	166	3310
48	167	3256
49	168	3198
50	168	3141
51	169	3088
52	170	3038
53	170	2989
54	171	2941
55	171	2893
56	172	2850
57	172	2808
58	173	2765
59	173	2724
60	174	2686
61	175	2650
62	175	2615
63	176	2580
64	176	2544
65	177	2511
66	178	2478
67	178	2447
68	179	2417
69	179	2386
70	180	2357
71	180	2330
72	181	2303
73	182	2277
74	182	2253
75	183	2227
76	183	2202
77	184	2178
78	184	2155
79	185	2131
80	185	2109
81	186	2086
82	186	2062
83	187	2043
84	187	2023
85	188	2004
86	189	1984
87	189	1966
88	190	1949
89	191	1931
90	191	1914
91	192	1896
92	192	1879
93	193	1863
94	193	1847
95	194	1830
96	195	1815
97	195	1800
98	196	1784
99	196	1771
100	197	1756
101	197	1741
102	198	1727
103	198	1712
104	199	1699
105	199	1686
106	200	1672
107	201	1660
108	201	1648
109	202	1636
110	202	1624
111	203	1613
112	204	1601
113	204	1589
114	205	1578
115	205	1566
116	206	1554
117	206	1544
118	207	1533
119	207	1522
120	208	1512
121	208	1501
122	209	1491
123	209	1480
124	210	1471
125	210	1463
126	211	1452
127	211	1443
128	212	1433
129	212	1424
130	213	1415
131	213	1406
132	214	1397
133	214	1388
134	215	1380
135	216	1372
136	216	1363
137	217	1355
138	217	1348
139	218	1342
140	219	1337
141	220	1329
142	220	1322
143	221	1315
144	221	1308
145	222	1300
146	222	1293
147	223	1286
148	223	1279
149	224	1273
150	225	1266
151	225	1259
152	226	1252
153	226	1245
154	227	1239
155	227	1233
156	228	1226
157	229	1220
158	229	1214
159	230	1208
160	230	1200
161	231	1195
162	231	1190
163	232	1185
164	233	1179
165	233	1173
166	233	1166
167	234	1160
168	234	1154
169	235	1149
170	236	1144
171	236	1138
172	237	1133
173	237	1128
174	238	1123
175	238	1117
176	239	1112
177	239	1106
178	240	1101
179	240	1096
180	241	1091
181	241	1086
182	242	1082
183	242	1077
184	243	1072
185	243	1067
186	244	1063
187	245	1058
188	245	1053
189	246	1049
190	246	1045
191	247	1041
192	248	1037
193	248	1032
194	248	1027
195	249	1023
196	250	1019
197	250	1015
198	251	1010
199	251	1006
200	252	1002
201	252	998
202	253	994
203	253	990
204	254	986
205	254	982
206	255	978
207	255	974
208	256	970
209	256	966
210	257	962
211	258	958
212	258	955
213	259	952
214	259	948
215	260	945
216	260	941
217	261	938
218	262	935
219	262	931
220	263	928
221	263	924
222	264	920
223	264	917
224	265	914
225	265	910
226	266	907
227	267	904
228	267	901
229	268	898
230	269	895
231	269	892
232	270	889
233	270	886
234	271	883
235	271	879
236	272	876
237	273	874
238	273	870
239	273	867
240	274	864
241	275	862
242	275	859
243	276	856
244	277	854
245	277	851
246	278	848
247	278	845
248	279	842
249	279	839
250	280	836
251	280	833
252	281	830
253	281	828
254	282	825
255	283	822
256	283	819
257	283	816
258	284	814
259	285	811
260	285	808
261	286	805
262	286	803
263	287	800
264	287	797
265	288	795
266	288	792
267	289	790
268	289	787
269	290	785
270	291	783
271	291	781
272	292	778
273	293	776
274	293	773
275	293	771
276	294	768
277	295	766
278	295	763
279	296	761
280	296	759
281	297	757
282	297	754
283	298	752
284	298	749
285	299	747
286	299	744
287	300	742
288	300	740
289	301	737
290	301	735
291	302	733
292	302	730
293	303	728
294	304	726
295	304	724
296	305	722
297	305	720
298	306	718
299	307	716
300	307	714
301	308	712
302	308	710
303	309	708
304	309	705
305	310	703
306	310	701
307	311	699
308	311	697
309	312	695
310	312	692
311	313	690
312	313	688
313	314	686
314	314	684
315	315	682
316	315	680
317	316	678
318	317	676
319	317	674
320	317	672
321	318	670
322	319	668
323	319	666
324	320	665
325	320	663
326	321	661
327	322	659
328	322	657
329	323	656
330	323	654
331	324	652
332	324	650
333	325	648
334	325	646
335	326	644
336	326	643
337	327	641
338	328	639
339	328	637
340	329	635
341	329	634
342	330	632
343	330	630
344	331	628
345	331	626
346	332	625
347	332	623
348	333	621
349	333	619
350	334	617
351	334	616
352	335	614
353	336	613
354	336	611
355	337	610
356	337	608
357	338	606
358	338	605
359	339	603
360	339	601
361	340	600
362	341	598
363	341	596
364	342	595
365	342	593
366	343	592
367	343	590
368	344	588
369	344	587
370	345	585
371	346	584
372	346	582
373	347	581
374	347	579
375	348	577
376	348	576
377	349	574
378	349	572
379	350	571
380	350	569
381	351	568
382	352	567
383	352	565
384	353	564
385	353	562
386	354	561
387	354	559
388	355	558
389	356	556
390	356	555
391	357	554
392	357	552
393	358	551
394	358	549
395	359	548
396	359	546
397	360	545
398	361	543
399	361	542
400	362	541
401	362	539
402	363	538
403	363	536
404	364	535
405	364	533
406	365	532
407	366	531
408	366	530
409	367	528
410	368	527
411	368	526
412	369	525
413	369	523
414	370	522
415	371	520
416	371	519
417	372	518
418	372	516
419	373	515
420	373	513
421	374	512
422	374	511
423	375	509
424	375	508
425	376	507
426	376	505
427	377	504
428	377	502
429	378	501
430	378	500
431	379	498
432	379	497
433	380	496
434	380	494
435	381	493
436	382	492
437	382	491
438	383	490
439	384	488
440	384	487
441	385	486
442	385	485
443	386	483
444	386	482
445	387	481
446	387	479
447	388	478
448	389	477
449	389	476
450	390	475
451	390	473
452	391	472
453	391	471
454	392	469
455	392	468
456	393	467
457	393	466
458	394	464
459	394	463
460	395	462
461	396	461
462	397	460
463	397	459
464	398	458
465	398	457
466	399	455
467	399	454
468	400	453
469	401	452
470	401	451
471	402	450
472	402	448
473	403	447
474	404	446
475	404	445
476	405	444
477	405	442
478	406	441
479	406	440
480	407	439
481	407	438
482	408	437
483	408	435
484	409	434
485	409	433
486	410	432
487	411	431
488	411	430
489	412	429
490	413	428
491	413	427
492	414	426
493	414	425
494	415	423
495	416	422
496	416	421
497	417	420
498	417	419
499	418	418
500	418	416
501	419	415
502	420	414
503	420	413
504	421	412
505	421	411
506	422	410
507	422	409
508	423	408
509	423	407
510	424	406
511	425	405
512	425	404
513	426	403
514	426	402
515	427	401
516	428	399
517	428	398
518	429	397
519	429	396
520	430	395
521	430	394
522	431	393
523	431	392
524	432	391
525	432	390
526	433	389
527	434	387
528	434	386
529	435	385
530	435	384
531	436	383
532	436	382
533	437	381
534	437	380
535	438	379
536	438	378
537	439	377
538	440	376
539	440	375
540	441	374
541	442	373
542	442	372
543	443	371
544	444	370
545	444	369
546	445	368
547	445	367
548	446	366
549	446	365
550	447	364
551	447	363
552	448	362
553	448	361
554	449	360
555	450	359
556	450	358
557	451	357
558	451	356
559	452	355
560	452	354
561	453	353
562	453	352
563	454	351
564	454	350
565	455	349
566	456	348
567	456	347
568	457	346
569	457	345
570	458	344
571	458	343
572	459	342
573	460	341
574	460	340
575	461	339
576	461	338
577	462	337
578	463	336
579	463	335
580	464	334
581	465	334
582	465	333
583	466	332
584	467	331
585	467	330
586	468	329
587	468	328
588	469	327
589	470	326
590	471	326
591	471	325
592	472	324
593	473	323
594	474	322
595	474	321
596	475	321
597	476	320
598	476	319
599	477	318
600	478	317
601	478	316
602	479	315
603	480	314
604	480	313
605	481	312
606	481	311
607	482	311
608	482	310
609	483	309
610	484	308
611	484	307
612	485	306
613	485	305
614	486	304
615	487	303
616	487	302
617	488	302
618	489	301
619	490	300
620	490	299
621	491	298
622	491	297
623	492	296
624	492	295
625	493	294
626	494	293
627	494	293
628	495	292
629	495	291
630	496	290
631	497	289
632	497	288
633	498	287
634	498	286
635	499	285
636	499	284
637	500	284
638	501	283
639	501	282
640	502	281
641	503	280
642	504	279
643	504	279
644	505	278
645	506	277
646	507	276
647	507	275
648	508	274
649	509	274
650	509	273
651	510	272
652	511	271
653	511	270
654	512	270
655	513	269
656	514	268
657	515	267
658	515	266
659	517	266
660	517	265
661	518	264
662	519	263
663	520	263
664	521	262
665	521	261
666	522	260
667	523	260
668	523	259
669	524	258
670	525	257
671	526	256
672	526	256
673	527	255
674	528	254
675	529	253
676	529	252
677	530	252
678	531	251
679	532	250
680	533	249
681	534	249
682	535	248
683	536	247
684	537	247
685	537	246
686	538	245
687	539	244
688	541	244
689	542	243
690	542	242
691	543	241
692	544	241
693	545	240
694	545	239
695	546	238
696	547	238
697	548	237
698	549	236
699	549	235
700	550	234
701	551	234
702	552	233
703	553	232
704	553	231
705	554	230
706	555	230
707	555	229
708	556	228
709	557	227
710	557	226
711	558	225
712	558	224
713	559	224
714	560	223
715	560	222
716	561	221
717	562	220
718	562	219
719	563	219
720	564	218
721	564	217
722	565	216
723	566	215
724	566	214
725	567	214
726	568	213
727	568	212
728	569	211
729	569	210
730	570	209
731	571	209
732	571	208
733	573	207
734	573	206
735	574	205
736	575	205
737	576	204
738	576	203
739	577	202
740	580	202
741	581	202
742	581	201
743	582	200
744	582	199
745	583	198
746	584	197
747	584	196
748	585	196
749	586	195
750	586	194
751	587	193
752	587	192
753	588	192
754	589	191
755	589	190
756	590	189
757	591	188
758	591	187
759	592	187
760	592	186
761	593	185
762	594	184
763	594	183
764	595	182
765	595	181
766	596	181
767	596	180
768	597	179
769	598	178
770	598	177
771	599	176
772	599	176
773	600	175
774	601	174
775	601	173
776	602	172
